created_at,ticker,station,probability,fair_yes_cents,best_yes_bid_cents,best_yes_ask_cents,spread_cents,limit_price_cents,requested_quantity,filled_quantity,average_price_cents,risk_allowed,risk_reasons,outcome,brier_score,resolved_at,forecast_max_f,adjusted_mean_f,sigma_f,forecast_age_minutes,metar_age_minutes,threshold_f,comparison,upper_f
2026-05-25T02:28:49.935218+00:00,KXHIGHNY-26MAY25-T79,KNYC,0.01,1,,1,,1,0,0,,0,"[""edge_below_threshold"", ""spread_too_wide""]",,,,70.0,70.0,3.5,,,,,
2026-05-25T02:28:49.998695+00:00,KXHIGHNY-26MAY25-T72,KNYC,0.7161454169013237,72,43,45,2,45,11,11,45.0,1,[],1,0.08057342434612332,2026-05-25T02:34:04.023819+00:00,70.0,70.0,3.5,,,,,
2026-05-25T02:28:50.064007+00:00,KXHIGHNY-26MAY24-T67,KNYC,0.7973862655326682,80,,1,,1,0,0,,0,"[""spread_too_wide""]",,,,70.0,70.0,2.0,,,,,
2026-05-25T02:28:50.125022+00:00,KXHIGHNY-26MAY24-T60,KNYC,0.1567510132221786,16,98,,,0,0,0,,0,"[""missing_executable_ask""]",,,,70.0,70.0,2.0,,,,,
2026-05-25T02:28:50.342556+00:00,KXHIGHCHI-26MAY25-T89,KORD,0.02275013194817943,2,1,2,1,2,0,0,,0,"[""edge_below_threshold"", ""stale_data""]",,,,82.0,82.00000000000001,3.5,,,,,
2026-05-25T02:28:50.402443+00:00,KXHIGHCHI-26MAY25-T82,KORD,0.4999999999999984,50,15,16,1,16,0,0,,0,"[""stale_data""]",,,,82.0,82.00000000000001,3.5,,,,,
2026-05-25T02:28:50.463377+00:00,KXHIGHCHI-26MAY24-T79,KORD,0.8037029523043551,80,,1,,1,0,0,,0,"[""stale_data"", ""spread_too_wide""]",,,,82.0,82.00000000000001,2.0,,,,,
2026-05-25T02:28:50.527647+00:00,KXHIGHCHI-26MAY24-T72,KORD,0.14946016430511475,15,,1,,1,0,0,,0,"[""edge_below_threshold"", ""stale_data"", ""spread_too_wide""]",,,,82.0,82.00000000000001,2.0,,,,,
2026-05-25T02:28:50.672517+00:00,KXHIGHDEN-26MAY25-T87,KDEN,0.2838545830986763,28,2,3,1,3,0,0,,0,"[""stale_data""]",,,,85.0,85.0,3.5,,,,,
2026-05-25T02:28:50.732727+00:00,KXHIGHDEN-26MAY25-T80,KDEN,0.07656372550983487,8,1,2,1,2,0,0,,0,"[""edge_below_threshold"", ""stale_data""]",,,,85.0,85.0,3.5,,,,,
2026-05-25T02:28:50.792142+00:00,KXHIGHDEN-26MAY24-T86,KDEN,0.36297752708341813,36,,1,,1,0,0,,0,"[""stale_data"", ""spread_too_wide""]",,,,85.0,85.0,2.0,,,,,
2026-05-25T02:28:50.852598+00:00,KXHIGHDEN-26MAY24-T79,KDEN,0.1431350253909502,14,,1,,1,0,0,,0,"[""edge_below_threshold"", ""stale_data"", ""spread_too_wide""]",,,,85.0,85.0,2.0,,,,,
